year,month,product,district,price
2021,yanvar,Sariyog',Mirzo Ulug'bek,55222.2222
2021,yanvar,Sariyog',Olmazor,69520.0
2021,yanvar,Sariyog',Sirg'ali,51200.0
2021,yanvar,Sariyog',Shayxontoxur,72857.14285
2021,yanvar,Sariyog',Uchtepa,48066.666675
2021,yanvar,Sariyog',Yashnobod,68650.0
2021,yanvar,Sariyog',Yunusobod,70200.0
2021,yanvar,Sariyog',Shahar bo'yicha,65107.585999999996
2021,yanvar,"Sut, 1 litr",Bektemir,7083.3333
2021,yanvar,"Sut, 1 litr",Mirobod,6887.5
2021,yanvar,"Sut, 1 litr",Yakkasaroy,7500.0
2021,yanvar,"Sut, 1 litr",Yangihayot,0.0
2021,yanvar,"Sut, 1 litr",Chilonzor,8250.0
2021,yanvar,"Sut, 1 litr",Mirzo Ulug'bek,5875.0
2021,yanvar,"Sut, 1 litr",Olmazor,7147.5
2021,yanvar,"Sut, 1 litr",Sirg'ali,8625.0
2021,yanvar,"Sut, 1 litr",Shayxontoxur,8375.0
2021,yanvar,"Sut, 1 litr",Uchtepa,7442.85715
2021,yanvar,"Sut, 1 litr",Yashnobod,6150.0
2021,yanvar,"Sut, 1 litr",Yunusobod,7285.7143
2021,yanvar,"Sut, 1 litr",Shahar bo'yicha,7230.992075
2021,yanvar,Tarvuz,Bektemir,5250.0
2021,yanvar,Tarvuz,Mirobod,4500.0
2021,yanvar,Tarvuz,Yakkasaroy,0.0
2021,yanvar,Tarvuz,Yangihayot,0.0
2021,yanvar,Tarvuz,Chilonzor,6500.0
2021,yanvar,Tarvuz,Mirzo Ulug'bek,0.0
2021,yanvar,Tarvuz,Olmazor,0.0
2021,yanvar,Tarvuz,Sirg'ali,0.0
2021,yanvar,Tarvuz,Shayxontoxur,0.0
2021,yanvar,Tarvuz,Uchtepa,0.0
2021,yanvar,Tarvuz,Yashnobod,4500.0
2021,yanvar,Tarvuz,Yunusobod,0.0
2021,yanvar,Tarvuz,Shahar bo'yicha,5300.0
2021,yanvar,Tuxum (10 dona),Bektemir,11387.5
2021,yanvar,Tuxum (10 dona),Mirobod,11500.0
2021,yanvar,Tuxum (10 dona),Yakkasaroy,10150.0
2021,yanvar,Tuxum (10 dona),Yangihayot,0.0
2021,yanvar,Tuxum (10 dona),Chilonzor,11038.392875
2021,yanvar,Tuxum (10 dona),Mirzo Ulug'bek,11440.476200000001
2021,yanvar,Tuxum (10 dona),Olmazor,12665.178575
2021,yanvar,Tuxum (10 dona),Sirg'ali,11750.0
2021,yanvar,Tuxum (10 dona),Shayxontoxur,12104.166650000001
2021,yanvar,Tuxum (10 dona),Uchtepa,10611.111125
2021,yanvar,Tuxum (10 dona),Yashnobod,11500.0
2021,yanvar,Tuxum (10 dona),Yunusobod,12650.0
2021,yanvar,Tuxum (10 dona),Shahar bo'yicha,11524.73545
2021,yanvar,Uzum,Bektemir,26250.0
2021,yanvar,Uzum,Mirobod,24017.85715
2021,yanvar,Uzum,Yakkasaroy,23833.3333
2021,yanvar,Uzum,Yangihayot,0.0
2021,yanvar,Uzum,Chilonzor,25406.25
2021,yanvar,Uzum,Mirzo Ulug'bek,21000.0
2021,yanvar,Uzum,Olmazor,24000.0
2021,yanvar,Uzum,Sirg'ali,25416.66665
2021,yanvar,Uzum,Shayxontoxur,31937.5
2021,yanvar,Uzum,Uchtepa,30357.14285
2021,yanvar,Uzum,Yashnobod,30972.222224999998
2021,yanvar,Uzum,Yunusobod,27291.66665
2021,yanvar,Uzum,Shahar bo'yicha,27367.55575
2021,yanvar,Shakar,Bektemir,7035.0
2021,yanvar,Shakar,Mirobod,6862.5
2021,yanvar,Shakar,Yakkasaroy,6991.666675
2021,yanvar,Shakar,Yangihayot,0.0
2021,yanvar,Shakar,Chilonzor,7275.0
2021,yanvar,Shakar,Mirzo Ulug'bek,6929.999975000001
2021,yanvar,Shakar,Olmazor,7166.6667
2021,yanvar,Shakar,Sirg'ali,6966.6667
2021,yanvar,Shakar,Shayxontoxur,7050.000024999999
2021,yanvar,Shakar,Uchtepa,6788.8889
2021,yanvar,Shakar,Yashnobod,7194.791649999999
2021,yanvar,Shakar,Yunusobod,7020.0
2021,yanvar,Shakar,Shahar bo'yicha,7039.664374999999
2021,fevral,Baliq,Bektemir,21900.0
2021,fevral,Baliq,Mirobod,31125.0
2021,fevral,Baliq,Yakkasaroy,20416.666675
2021,fevral,Baliq,Yangihayot,0.0
2021,fevral,Baliq,Chilonzor,24125.0
2021,fevral,Baliq,Mirzo Ulug'bek,22675.0
2021,fevral,Baliq,Olmazor,29857.1429
2021,fevral,Baliq,Sirg'ali,17000.0
2021,fevral,Baliq,Shayxontoxur,27500.0
2021,fevral,Baliq,Uchtepa,25700.0
2021,fevral,Baliq,Yashnobod,34525.0
2021,fevral,Baliq,Yunusobod,36800.0
2021,fevral,Baliq,Shahar bo'yicha,27179.067475000003
2021,fevral,Birinchi navli bug'doy uni,Bektemir,4857.1429
2021,fevral,Birinchi navli bug'doy uni,Mirobod,4810.0
2021,fevral,Birinchi navli bug'doy uni,Yakkasaroy,5250.0
2021,fevral,Birinchi navli bug'doy uni,Yangihayot,0.0
2021,fevral,Birinchi navli bug'doy uni,Chilonzor,5233.3333
2021,fevral,Birinchi navli bug'doy uni,Mirzo Ulug'bek,5750.0
2021,fevral,Birinchi navli bug'doy uni,Olmazor,4985.7143
2021,fevral,Birinchi navli bug'doy uni,Sirg'ali,4808.75
2021,fevral,Birinchi navli bug'doy uni,Shayxontoxur,4840.0
2021,fevral,Birinchi navli bug'doy uni,Uchtepa,4966.6667
2021,fevral,Birinchi navli bug'doy uni,Yashnobod,5180.35715
2021,fevral,Birinchi navli bug'doy uni,Yunusobod,4450.0
2021,fevral,Birinchi navli bug'doy uni,Shahar bo'yicha,5026.026750000001
2021,fevral,Bodring,Bektemir,14625.0
2021,fevral,Bodring,Mirobod,20000.0
2021,fevral,Bodring,Yakkasaroy,22325.0
2021,fevral,Bodring,Yangihayot,0.0
2021,fevral,Bodring,Chilonzor,20392.85715
2021,fevral,Bodring,Mirzo Ulug'bek,26250.0
2021,fevral,Bodring,Olmazor,21218.75
2021,fevral,Bodring,Sirg'ali,23875.0
2021,fevral,Bodring,Shayxontoxur,20454.166675
2021,fevral,Bodring,Uchtepa,21479.166675
2021,fevral,Bodring,Yashnobod,31550.0
2021,fevral,Bodring,Yunusobod,21708.33335
2021,fevral,Bodring,Shahar bo'yicha,22952.35615
2021,fevral,Guruch,Bektemir,10910.714324999999
2021,fevral,Guruch,Mirobod,10387.5
2021,fevral,Guruch,Yakkasaroy,11250.0
2021,fevral,Guruch,Yangihayot,0.0
2021,fevral,Guruch,Chilonzor,11300.0
2021,fevral,Guruch,Mirzo Ulug'bek,11055.5556
2021,fevral,Guruch,Olmazor,10027.777775
2021,fevral,Guruch,Sirg'ali,12642.8571
2021,fevral,Guruch,Shayxontoxur,11142.8571
2021,fevral,Guruch,Uchtepa,11325.0
2021,fevral,Guruch,Yashnobod,12062.5
2021,fevral,Guruch,Yunusobod,13200.0
2021,fevral,Guruch,Shahar bo'yicha,11447.271825
2021,fevral,Karam,Bektemir,2500.0
2021,fevral,Karam,Mirobod,3937.5
2021,fevral,Karam,Yakkasaroy,3156.25
2021,fevral,Karam,Yangihayot,0.0
2021,fevral,Karam,Chilonzor,2406.25
2021,fevral,Karam,Mirzo Ulug'bek,4000.0
2021,fevral,Karam,Olmazor,2937.5
2021,fevral,Karam,Sirg'ali,2250.0
2021,fevral,Karam,Shayxontoxur,3250.0
2021,fevral,Karam,Uchtepa,2500.0
2021,fevral,Karam,Yashnobod,3250.0
2021,fevral,Karam,Yunusobod,2637.5
2021,fevral,Karam,Shahar bo'yicha,3006.25
2021,fevral,Kartoshka,Bektemir,4160.0
2021,fevral,Kartoshka,Mirobod,4600.0
2021,fevral,Kartoshka,Yakkasaroy,4000.0
2021,fevral,Kartoshka,Yangihayot,0.0
2021,fevral,Kartoshka,Chilonzor,3857.1429
2021,fevral,Kartoshka,Mirzo Ulug'bek,4374.999975000001
2021,fevral,Kartoshka,Olmazor,4087.94645
2021,fevral,Kartoshka,Sirg'ali,3455.0
2021,fevral,Kartoshka,Shayxontoxur,4225.0
2021,fevral,Kartoshka,Uchtepa,3966.6667
2021,fevral,Kartoshka,Yashnobod,4013.125
2021,fevral,Kartoshka,Yunusobod,4395.0
2021,fevral,Kartoshka,Shahar bo'yicha,4095.6671750000005
2021,fevral,"Kungaboqar yog'i, 1 litr",Bektemir,14700.0
2021,fevral,"Kungaboqar yog'i, 1 litr",Mirobod,14958.33335
2021,fevral,"Kungaboqar yog'i, 1 litr",Yakkasaroy,14775.0
2021,fevral,"Kungaboqar yog'i, 1 litr",Yangihayot,0.0
2021,fevral,"Kungaboqar yog'i, 1 litr",Chilonzor,16393.75
2021,fevral,"Kungaboqar yog'i, 1 litr",Mirzo Ulug'bek,16945.83335
2021,fevral,"Kungaboqar yog'i, 1 litr",Olmazor,16800.0
2021,fevral,"Kungaboqar yog'i, 1 litr",Sirg'ali,16206.25
2021,fevral,"Kungaboqar yog'i, 1 litr",Shayxontoxur,16625.000025
2021,fevral,"Kungaboqar yog'i, 1 litr",Uchtepa,17825.0
2021,fevral,"Kungaboqar yog'i, 1 litr",Yashnobod,15376.116087500002
2021,fevral,"Kungaboqar yog'i, 1 litr",Yunusobod,15423.0769
2021,fevral,"Kungaboqar yog'i, 1 litr",Shahar bo'yicha,15950.372974999998
2021,fevral,Qovoq,Bektemir,4791.6667
2021,fevral,Qovoq,Mirobod,4125.0
2021,fevral,Qovoq,Yakkasaroy,3650.0
2021,fevral,Qovoq,Yangihayot,0.0
2021,fevral,Qovoq,Chilonzor,4527.083325
2021,fevral,Qovoq,Mirzo Ulug'bek,4531.25
2021,fevral,Qovoq,Olmazor,4812.5
2021,fevral,Qovoq,Sirg'ali,4500.0
2021,fevral,Qovoq,Shayxontoxur,4625.0
2021,fevral,Qovoq,Uchtepa,4675.0
2021,fevral,Qovoq,Yashnobod,3968.75
2021,fevral,Qovoq,Yunusobod,5041.6667
2021,fevral,Qovoq,Shahar bo'yicha,4525.4577
2021,fevral,Qovun,Bektemir,0.0
2021,fevral,Qovun,Mirobod,0.0
2021,fevral,Qovun,Yakkasaroy,0.0
